ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAIizQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.ChipPerformence	chipperformence	1591024169011	 	3.3.1
USER	Update	204	START	1591024170939	1591024170939
USER	Update	207	START	1591024170966	1591024170966
USER	Update	210	START	1591024170990	1591024170990
USER	Create	4	START	1591024170966	1591024170966
USER	Create	3	START	1591024170870	1591024170870
USER	Show	412	START	1591024170999	1591024170999
USER	Show	413	START	1591024171000	1591024171000
USER	Show	414	START	1591024171000	1591024171000
USER	Show	411	START	1591024170998	1591024170998
USER	Show	416	START	1591024171002	1591024171002
USER	Show	418	START	1591024171003	1591024171003
USER	Show	419	START	1591024171008	1591024171008
USER	Show	420	START	1591024171011	1591024171011
USER	Show	421	START	1591024171012	1591024171012
USER	Show	422	START	1591024171013	1591024171013
USER	Delete	623	START	1591024171014	1591024171014
USER	Delete	624	START	1591024171015	1591024171015
USER	Delete	625	START	1591024171018	1591024171018
USER	Show	417	START	1591024171002	1591024171002
USER	Delete	626	START	1591024171019	1591024171019
USER	Delete	627	START	1591024171019	1591024171019
USER	Delete	628	START	1591024171020	1591024171020
USER	Delete	629	START	1591024171020	1591024171020
USER	Create	7	START	1591024171021	1591024171021
USER	Create	6	START	1591024171020	1591024171020
USER	Delete	630	START	1591024171023	1591024171023
USER	Delete	631	START	1591024171024	1591024171024
USER	Delete	633	START	1591024171025	1591024171025
USER	Delete	632	START	1591024171024	1591024171024
USER	Delete	634	START	1591024171026	1591024171026
USER	Create	8	START	1591024171027	1591024171027
USER	Delete	636	START	1591024171028	1591024171028
USER	Delete	635	START	1591024171027	1591024171027
USER	Create	9	START	1591024171029	1591024171029
USER	Create	11	START	1591024171030	1591024171030
USER	Create	12	START	1591024171031	1591024171031
USER	Update	209	START	1591024170988	1591024170988
USER	Update	211	START	1591024171033	1591024171033
USER	Show	423	START	1591024171034	1591024171034
USER	Update	212	START	1591024171036	1591024171036
USER	Show	424	START	1591024171037	1591024171037
USER	Create	14	START	1591024171038	1591024171038
USER	Update	213	START	1591024171038	1591024171038
USER	Show	425	START	1591024171039	1591024171039
USER	Create	10	START	1591024171029	1591024171029
USER	Create	1	START	1591024170866	1591024170866
USER	Create	13	START	1591024171034	1591024171034
USER	Update	205	START	1591024170948	1591024170948
USER	Create	5	START	1591024170966	1591024170966
USER	Update	206	START	1591024170953	1591024170953
USER	Update	208	START	1591024170967	1591024170967
USER	Create	2	START	1591024170869	1591024170869
USER	Show	415	START	1591024171001	1591024171001
USER	Create	15	START	1591024171048	1591024171048
USER	Update	214	START	1591024171049	1591024171049
USER	Show	426	START	1591024171050	1591024171050
USER	Delete	637	START	1591024171050	1591024171050
USER	Show	427	START	1591024171052	1591024171052
USER	Delete	638	START	1591024171052	1591024171052
USER	Create	17	START	1591024171053	1591024171053
USER	Update	216	START	1591024171053	1591024171053
USER	Show	428	START	1591024171053	1591024171053
